id,username,gender,avgsales,repeated,tenure
10000,James Cutney,male,200,TRUE,38.4
10001,John Smith,male,300,FALSE,51.6
10002,Susan Sanderson,female,200,FALSE,15.6
10003,Bree Landy,female,NA,FALSE,1.2
10004,James Cutney,male,200,TRUE,38.4
10005,John Smith,male,300,FALSE,51.6
10006,James Cutney,male,200,TRUE,38.4
10007,John Smith,male,300,FALSE,51.6
10008,Susan Sanderson,female,200,FALSE,15.6
10009,Bree Landy,female,NA,FALSE,1.2
10010,James Cutney,male,200,TRUE,38.4
10011,John Smith,male,300,FALSE,51.6
10012,Susan Sanderson,female,200,FALSE,15.6
10013,Bree Landy,female,NA,FALSE,1.2
10014,James Cutney,male,200,TRUE,38.4
10015,John Smith,male,300,FALSE,51.6
10016,Susan Sanderson,female,200,FALSE,15.6
10017,Bree Landy,female,NA,FALSE,1.2
10018,James Cutney,male,200,TRUE,38.4
10019,John Smith,male,300,FALSE,51.6
10020,Susan Sanderson,female,200,FALSE,15.6
10021,Bree Landy,female,NA,FALSE,1.2
10022,James Cutney,male,200,TRUE,38.4
10023,John Smith,male,300,FALSE,51.6
10024,Susan Sanderson,female,200,FALSE,15.6
10025,Bree Landy,female,NA,FALSE,1.2
10026,James Cutney,male,200,TRUE,38.4
10027,John Smith,male,300,FALSE,51.6
10028,Susan Sanderson,female,200,FALSE,15.6
10029,Bree Landy,female,NA,FALSE,1.2
10030,James Cutney,male,200,TRUE,38.4
10031,John Smith,male,300,FALSE,51.6
10032,Susan Sanderson,female,200,FALSE,15.6
10033,Bree Landy,female,NA,FALSE,1.2
10034,James Cutney,male,200,TRUE,38.4
10035,John Smith,male,300,FALSE,51.6
10036,Susan Sanderson,female,200,FALSE,15.6
10037,Bree Landy,female,NA,FALSE,1.2
10038,James Cutney,male,200,TRUE,38.4
10039,John Smith,male,300,FALSE,51.6
10040,Susan Sanderson,female,200,FALSE,15.6
10041,Bree Landy,female,NA,FALSE,1.2
10042,James Cutney,male,200,TRUE,38.4
10043,John Smith,male,300,FALSE,51.6
10044,Susan Sanderson,female,200,FALSE,15.6
10045,Bree Landy,female,NA,FALSE,1.2
10046,James Cutney,male,200,TRUE,38.4
10047,John Smith,male,300,FALSE,51.6
10048,Susan Sanderson,female,200,FALSE,15.6
10049,Bree Landy,female,NA,FALSE,1.2
10050,James Cutney,male,200,TRUE,38.4
10051,John Smith,male,300,FALSE,51.6
10052,Susan Sanderson,female,200,FALSE,15.6
10053,Bree Landy,female,NA,FALSE,1.2
10054,James Cutney,male,200,TRUE,38.4
10055,John Smith,male,300,FALSE,51.6
10056,Susan Sanderson,female,200,FALSE,15.6
10057,Bree Landy,female,NA,FALSE,1.2
10058,James Cutney,male,200,TRUE,38.4
10059,John Smith,male,300,FALSE,51.6
10060,Susan Sanderson,female,200,FALSE,15.6
10061,Bree Landy,female,NA,FALSE,1.2
10062,James Cutney,male,200,TRUE,38.4
10063,John Smith,male,300,FALSE,51.6
10064,Susan Sanderson,female,200,FALSE,15.6
10065,Bree Landy,female,NA,FALSE,1.2
10066,James Cutney,male,200,TRUE,38.4
10067,John Smith,male,300,FALSE,51.6
10068,Susan Sanderson,female,200,FALSE,15.6
10069,Bree Landy,female,NA,FALSE,1.2
10070,James Cutney,male,200,TRUE,38.4
10071,John Smith,male,300,FALSE,51.6
10072,Susan Sanderson,female,200,FALSE,15.6
10073,Bree Landy,female,NA,FALSE,1.2
10074,James Cutney,male,200,TRUE,38.4
10075,John Smith,male,300,FALSE,51.6
10076,Susan Sanderson,female,200,FALSE,15.6
10077,Bree Landy,female,NA,FALSE,1.2
10078,James Cutney,male,200,TRUE,38.4
10079,John Smith,male,300,FALSE,51.6
10080,Susan Sanderson,female,200,FALSE,15.6
10081,Bree Landy,female,NA,FALSE,1.2
10082,James Cutney,male,200,TRUE,38.4
10083,John Smith,male,300,FALSE,51.6
10084,Susan Sanderson,female,200,FALSE,15.6
10085,Bree Landy,female,NA,FALSE,1.2
